recommends,specials_url,title,url,region,coord,phone,board,address,img_url
,,咕咕鸡特色餐饮,http://www.dianping.com/shop/4531922,岳阳楼区,"113.10598500014,29.3736239999417",0730-8328008,"{'url': u'http://www.dianping.com/mylist/1573775', 'intro': u'\u4e3a\u4f60\u63a8\u8350\u672c\u57ce\u6700\u9002\u5408\u60c5\u4fa3\u665a\u9910\u7684\u597d\u53bb\u5904\uff0c\u6d6a\u6f2b\u6e29\u60c5\u7684\u70db\u5149\uff0c\u518d\u914d\u4e0a\u4e00\u4efd\u60c5\u8c03\u5927\u9910\uff0c\u5c31\u5728\u8fd9\u66fc...', 'title': u'\u3010\u5cb3\u9633\u3011\u6d6a\u6f2b\u7ea6\u4f1a\u9910\u5385\u653b\u7565'}",步行街九丰大厦3楼,http://i2.s1.dpfile.com/pc/68a2f931eba45aa604508a641c88b5b5(335c221)/thumb.jpg
,,比利迦咖啡屋,http://www.dianping.com/shop/8007753,岳阳楼区,"113.1103185,29.37244938",0730-8698383,"{'url': u'http://www.dianping.com/mylist/1573775', 'intro': u'\u4e3a\u4f60\u63a8\u8350\u672c\u57ce\u6700\u9002\u5408\u60c5\u4fa3\u665a\u9910\u7684\u597d\u53bb\u5904\uff0c\u6d6a\u6f2b\u6e29\u60c5\u7684\u70db\u5149\uff0c\u518d\u914d\u4e0a\u4e00\u4efd\u60c5\u8c03\u5927\u9910\uff0c\u5c31\u5728\u8fd9\u66fc...', 'title': u'\u3010\u5cb3\u9633\u3011\u6d6a\u6f2b\u7ea6\u4f1a\u9910\u5385\u653b\u7565'}",步行街金爵公寓706号(天虹商场对面),http://i1.s1.dpfile.com/pc/1503bced881d1c4446107d4b31bfeb4c(335c221)/thumb.jpg
"[{'dish': u'http://www.dianping.com/shop/3701878/dish-%E9%B8%AD%E9%AA%A8%E5%A4%B4', 'name': u'\u9e2d\u9aa8\u5934'}, {'dish': u'http://www.dianping.com/shop/3701878/dish-%E9%B8%AD%E7%BF%85', 'name': u'\u9e2d\u7fc5'}, {'dish': u'http://www.dianping.com/shop/3701878/dish-%E9%85%B1%E6%9D%BF%E9%B8%AD', 'name': u'\u9171\u677f\u9e2d'}, {'dish': u'http://www.dianping.com/shop/3701878/dish-%E9%AC%BC%E7%88%AA', 'name': u'\u9b3c\u722a'}, {'dish': u'http://www.dianping.com/shop/3701878/dish-%E9%B8%AD%E8%84%96%E5%AD%90', 'name': u'\u9e2d\u8116\u5b50'}, {'dish': u'http://www.dianping.com/shop/3701878/dish-%E8%BE%A3%E5%B9%B2%E5%AD%90', 'name': u'\u8fa3\u5e72\u5b50'}]",,九哥百味鸭,http://www.dianping.com/shop/3701878,岳阳楼区,"113.111347999762,29.3719749999888",,"{'url': u'http://www.dianping.com/mylist/1572658', 'intro': u'\u641c\u7f57\u672c\u57ce\u5fc5\u5403\u7684\u5c0f\u5403\uff0c\u65e0\u8bba\u662f\u8857\u8fb9\u7684\u8fd8\u662f\u5927\u9152\u5e97\u91cc\u7684\u3002\u72c2\u7231\u5c0f\u5403\u7684\u5403\u8d27\u4eec\u662f\u65e0\u6240\u754f\u60e7\u7684\uff0c\u6bcf...', 'title': u'\u3010\u5cb3\u9633\u3011\u70ed\u95e8\u5c0f\u5403\u70b9\u5fc3\u5927\u641c\u7f57'}",炮台山路,http://i3.s2.dpfile.com/pc/22b2e23673b91809e36e9968927ab500(335c221)/thumb.jpg
,,98台式铁板烧,http://www.dianping.com/shop/8873514,岳阳楼区,"113.129660000257,29.3634500000061",0730-8321337,"{'url': u'http://www.dianping.com/mylist/1573545', 'intro': u'\u4fd7\u8bdd\u8bf4\uff1a\u5173\u952e\u4e0d\u662f\u5403\u4ec0\u4e48\uff0c\u800c\u662f\u548c\u8c01\u53bb\u3002\u591c\u732b\u5b50\u5374\u8bf4\uff1a\u5173\u952e\u4e0d\u662f\u548c\u8c01\u53bb\uff0c\u800c\u662f\u5728\u4ec0\u4e48\u65f6\u95f4\u5403...', 'title': u'\u3010\u5cb3\u9633\u3011\u5bb5\u591c\u70e7\u70e4\u5403\u8d77\u6765'}",天伦城金三角购物公园3楼3008室,http://i1.s2.dpfile.com/pc/d64e310bdbc92cfafed0b0fac2a89dfa(335c221)/thumb.jpg
,,刘杨何私房菜,http://www.dianping.com/shop/22522158,汨罗镇,"0.0,0.0",18274085858,"{'url': u'http://www.dianping.com/mylist/1651373', 'intro': u'\u4e0d\u8f93\u6b63\u724c\u7684\u79c1\u623f\u83dc\u9986\uff0c\u53e3\u5473\u72ec\u7279\uff0c\u79cd\u7c7b\u5404\u5f02\uff0c\u503c\u5f97\u4e00\u5c1d\uff0c\u8d76\u7d27\u6765\u770b\u770b\u5427\uff01', 'title': u'\u3010\u5cb3\u9633\u3011\u672c\u57ce\u6df1\u85cf\u4e0d\u9732\u7684\u79c1\u623f\u83dc\u9986\uff0c\u503c\u5f97\u4e00\u5c1d'}",汨罗城中城郊中学旁,//j3.s2.dpfile.com/s/i/app/shop/img_nopic.v01605900.png
,javascript:;,洞庭湖,http://www.dianping.com/shop/5298005,岳阳楼区,"113.093452453613,29.3818969726562",,"{'url': u'http://www.dianping.com/mylist/1572931', 'intro': u'\u63a8\u8350\u4e00\u4e9b\u4e0d\u9519\u7684\u666f\u70b9\uff0c\u9002\u5408\u5468\u672b\u6e38\u548c\u90ca\u6e38\u3002\u653e\u677e\u5fc3\u60c5\u62e5\u62b1\u5927\u81ea\u7136\u53bb\u5427\uff01', 'title': u'\u3010\u5cb3\u9633\u3011\u672c\u57ce\u5fc5\u73a9\u7684\u666f\u70b9'}",岳阳楼景区,http://i3.s2.dpfile.com/pc/c753479a521953bc287a697cb658191b(335c221)/thumb.jpg
"[{'dish': u'http://www.dianping.com/shop/21710164/dish-%E8%99%8E%E7%9A%AE%E8%9B%8B', 'name': u'\u864e\u76ae\u86cb'}]",javascript:;,秦记重庆小面,http://www.dianping.com/shop/21710164,岳阳楼区,"113.1292272,29.369289",18073002966,"{'url': u'http://www.dianping.com/mylist/2876705', 'intro': u'\u8ddf\u7740\u5c0f\u7f16\u627e\u51fa\u85cf\u5728\u8857\u5934\u5df7\u5c3e\u7684\u7f8e\u5473\u9762\u9986\u5427', 'title': u'\u3010\u5cb3\u9633\u3011\u6316\u51fa\u85cf\u5728\u8857\u5934\u5df7\u5c3e\u7684\u7f8e\u5473\u9762\u9986'}",青年东路王家河桥东路口(岳州中往西200米),http://i3.s1.dpfile.com/pc/4831a7c89922078d50cb0aed05378d6e(335c221)/thumb.jpg
,,梁记粥铺,http://www.dianping.com/shop/19106053,岳阳楼区,"113.11573,29.35182",0730-8857777,"{'url': u'http://www.dianping.com/mylist/2151239', 'intro': u'\u5cb3\u9633\u5c0f\u5403\u904d\u5e03\u5168\u57ce\uff0c\u4e0b\u8fb9\u7b14\u8005\u5e26\u5927\u5bb6\u53bb\u770b\u4e0b\u5cb3\u9633\u7684\u5c0f\u5403\uff0c\u6392\u540d\u4e0d\u5206\u5148\u540e\uff01', 'title': u'\u5cb3\u9633\u5c0f\u5403\u653b\u7565 \u820c\u5c16\u4e0a\u7684\u6c11\u95f4\u5473\u9053'}",求索西路516号,http://i2.s2.dpfile.com/pc/ae1b04efdfad8507abca6b16ce99e0aa(335c221)/thumb.jpg
,javascript:;,有情客串,http://www.dianping.com/shop/24286984,岳阳楼区,"113.09654,29.37447",0730-8919090,"{'url': u'http://www.dianping.com/mylist/2872884', 'intro': u'\u7ea2\u6f06\u7684\u77ee\u65b9\u684c\u3001\u5c0f\u51f3\u5b50\uff0c\u4e00\u9505\u7ea2\u6c64\uff0c\u548c\u4e00\u5927\u628a\u4e00\u5927\u628a\u7684\u7af9\u7b7e\u6784\u6210\u4e86\u4e00\u9053\u7279\u522b\u98ce\u666f\u3002\u6765\u81ea\u6210\u90fd...', 'title': u'\u3010\u5cb3\u9633\u3011\u9c9c\u9999\u9ebb\u8fa3 \u8857\u8fb9\u90a3\u4e00\u7897\u4f20\u5947\u4e32\u4e32\u9999'}",保利西街19栋130号茉莉酒吧后面门,http://i1.s1.dpfile.com/pc/073952c27704b41e10406ff05eb46c77(335c221)/thumb.jpg
,,南湖广场,http://www.dianping.com/shop/13887166,岳阳楼区,"113.1181896,29.34971264",18307301637,"{'url': u'http://www.dianping.com/mylist/1572931', 'intro': u'\u63a8\u8350\u4e00\u4e9b\u4e0d\u9519\u7684\u666f\u70b9\uff0c\u9002\u5408\u5468\u672b\u6e38\u548c\u90ca\u6e38\u3002\u653e\u677e\u5fc3\u60c5\u62e5\u62b1\u5927\u81ea\u7136\u53bb\u5427\uff01', 'title': u'\u3010\u5cb3\u9633\u3011\u672c\u57ce\u5fc5\u73a9\u7684\u666f\u70b9'}",南湖大道岳阳游乐场后华雅酒店向前走1000米,http://i2.s2.dpfile.com/pc/d17b6008577e9516cd5a3f58986441bc(335c221)/thumb.jpg
,javascript:;,胖哥烧烤,http://www.dianping.com/shop/18307487,岳阳楼区,"113.1107712,29.3938843",15873094885,"{'url': u'http://www.dianping.com/mylist/2804225', 'intro': u'\u590f\u5929\u5c31\u662f\u5564\u9152\u53eb\u70e7\u70e4\uff0c\u8fd9\u6837\u5403\uff0c\u624d\u8fc7\u763e', 'title': u'\u5403\u8d27\u8bf7\u8fdb\uff01\u5cb3\u9633\u8d8a\u5403\u8d8a\u8fc7\u763e\u7684\u70e7\u70e4'}",洞庭大桥(洞庭大桥),http://i2.s1.dpfile.com/pc/722d5d0e44dc1264ca4dadf60de6afe9(335c221)/thumb.jpg
,,品味湖景餐吧,http://www.dianping.com/shop/23486149,岳阳楼区,"113.09681,29.34744",0730-8579999,"{'url': u'http://www.dianping.com/mylist/2802607', 'intro': u'\u7ed9\u5927\u5bb6\u63a8\u8350\u8fd9\u4e9b\u7a00\u5947\u53e4\u602a\u7684\u5947\u8469\u9910\u5385\uff0c\u597d\u5403\u53c8\u597d\u73a9\uff0c\u7edd\u5bf9\u9002\u5408\u730e\u5947\u7684\u5403\u8d27\u54df\uff01', 'title': u'\u53eb\u9192\u4f60\u7684\u773c\uff01\u53bb\u5cb3\u9633\u5947\u8469\u7684\u4e3b\u9898\u9910\u5385\u7ea6\u4e2a\u4f1a'}",云梦路南津古渡(咖啡陪你旁),http://i3.s2.dpfile.com/pc/6301640a0ebb58cadfba03c45281241d(335c221)/thumb.jpg
"[{'dish': u'http://www.dianping.com/shop/21074138/dish-%E6%8E%8C%E4%B8%AD%E5%AE%9D', 'name': u'\u638c\u4e2d\u5b9d'}]",,玉林串串香,http://www.dianping.com/shop/21074138,岳阳楼区,"113.12473,29.35631",0730-8977928,"{'url': u'http://www.dianping.com/mylist/2872884', 'intro': u'\u7ea2\u6f06\u7684\u77ee\u65b9\u684c\u3001\u5c0f\u51f3\u5b50\uff0c\u4e00\u9505\u7ea2\u6c64\uff0c\u548c\u4e00\u5927\u628a\u4e00\u5927\u628a\u7684\u7af9\u7b7e\u6784\u6210\u4e86\u4e00\u9053\u7279\u522b\u98ce\u666f\u3002\u6765\u81ea\u6210\u90fd...', 'title': u'\u3010\u5cb3\u9633\u3011\u9c9c\u9999\u9ebb\u8fa3 \u8857\u8fb9\u90a3\u4e00\u7897\u4f20\u5947\u4e32\u4e32\u9999'}",八中巷子 徳郡卡布奇诺大门口2楼(近后咖啡),http://i1.s1.dpfile.com/pc/a999ce77e9d93ae09537de62c4826cdf(335c221)/thumb.jpg
,javascript:;,三哥私房菜,http://www.dianping.com/shop/21032687,岳阳楼区,"113.12616,29.37208",18691262725,"{'url': u'http://www.dianping.com/mylist/2877657', 'intro': u'&ldquo;\u79c1\u623f\u83dc&rdquo;\uff0c\u662f\u65e0\u724c\u7167\u3001\u65e0\u8dd1\u5802\u3001\u65e0\u56fa\u5b9a\u83dc\u5355\uff0c\u60df\u72ec\u53a8\u5e08\u6709\u624b\u827a\u7684\u5c0f\u672c\u9910\u996e&ldq...', 'title': u'\u5bfb\u89c5\u5cb3\u9633\u597d\u5403\u53c8\u7f8e\u5473\u7684\u79c1\u623f\u83dc\u9986'}",巴陵中路403号,http://i2.s1.dpfile.com/pc/6d06f4520681ffc64f39c572acf116ff(335c221)/thumb.jpg
