title,summary,link,pubtime
医联宝手机自助挂号支付系统,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2304,2015.07.31
旅游省钱宝,本产品通过大数据分析预测机票酒店价格的走势，并给出可信度，帮助用户来决定什么时间购买机票最省钱。如果机票价格有上涨的趋势，系统就会提醒用户立即购买机票，酒店价格也是如此,http://zzkf.bigcloudsys.cn:8088/project/detail/2305,2015.07.31
移动宽带助手,随着公司光纤宽带业务发展日益壮大，我们的宣传手段已经略显落后，以及办理流程也有待优化。为让在家宽业务发展中，与客户沟通顺畅，加大宣传力度，提高办理效率。结合手机与互联网技术打造适用于一线营销人员及用户的精品,http://zzkf.bigcloudsys.cn:8088/project/detail/2075,2015.07.29
移动外勤,上海中移通信移动外勤管理系统依托移动通信网络及定位、GIS、短信等功能，为外销、外巡、外送等中小企业提供的基于位置的外勤管理信息化服务。外勤人员通过移动终端完成现场数据采集、工单接收、业务反馈等工作，同时与后台系统形成实时的数据交互，帮助企业管理人员掌握外勤人员的实际工作情况。,http://zzkf.bigcloudsys.cn:8088/project/detail/2361,2015.07.31
小“和”跑腿, 小“和”跑腿,http://zzkf.bigcloudsys.cn:8088/project/detail/2419,2015.08.03
陌电识别器-更懂你的手机贴心大白卫士,,http://zzkf.bigcloudsys.cn:8088/project/detail/2525,2015.08.05
流量百宝箱,一个免费赚流量平台。企业客户可登录该平台，向中国移动采购一定数量的流量包，通过问卷奖励、游戏奖励、看广告奖励等等方式赠送给登录该平台的个人用户，由此可获得客户资料、问卷信息、广告推送等收益。,http://zzkf.bigcloudsys.cn:8088/project/detail/2288,2015.07.31
投你妹,"我们的目标是：研发一种创新型的、面向三大运营商的客户投诉受理大数据产品，使得“互联网+”产品与电信行业应用深度融合, 降低运营商庞大的运营成本（OPEX）, 提高企业生产效率和利润 , 同时也考虑给越来越多的大众人群提供二次创收或者盈利的模式.",http://zzkf.bigcloudsys.cn:8088/project/detail/2350,2015.07.31
移动智能泊车系统, ,http://zzkf.bigcloudsys.cn:8088/project/detail/2123,2015.07.30
运动吧,该APP可实现线上赛事发布、赛事报名、门票购买、视频直播、互动交流等功能；线下可实现场地预约、体育队伍组建、同城约战等功能。在具备以上功能的同时，可延伸至旅游、体育用品、保险、彩票、体质检测、健康管理、健身定制等。该应用程序涵盖游泳、羽毛球、乒乓球、网球、篮球、足球、台球、健身、等体育项目。,http://zzkf.bigcloudsys.cn:8088/project/detail/2398,2015.08.03
联调及上线日报查询系统,"1、针对所有的项目组，可以进行实时的查询联调的当前进度、联调受阻遇到的问题、上线等相关信息
2、联调人员可以针对每天都具体联调情况来进行更新当前的联调进度和遇到的问题
3、上线人员可以查看预上线都网元的联调情况来判断是否能上线，若上线则填写相关的上线信息等等
4、设置有后台管理，适合每个项目组根据本身的个性化来设置
5、后期准备设置权限来进行管理，即后台管理仅特定的管理员来进行设置，查询部分也只能分配权限的部分来进行，联调日报和上线内容的更新等等都需要根据权限来操作",http://zzkf.bigcloudsys.cn:8088/project/detail/2145,2015.07.31
帮帮带,“帮帮带”是协助家长为孩子约伴，为孩子们寻找合适的生活、学习同伴，解决现在独生子女生活孤单问题，同时也解决了现代都市家长工作忙，无暇照顾孩子的问题。,http://zzkf.bigcloudsys.cn:8088/project/detail/2158,2015.07.31
和分惠,这是一款APP，它能及时向手机用户推送衣、食、住、行、娱乐方面的优惠券或个性化的产品信息，用户可使用中国移动积分（简称“和分”）兑换电子优惠券（二维码或数字兑换码），到相应的商家进行消费。,http://zzkf.bigcloudsys.cn:8088/project/detail/2228,2015.07.31
和行记,“和行记”是一款基于地理位置环境结合移动融合通信（语音、短信等功能）的运动社交软件，可以实现熟悉伙伴之间的活动策划组织，也可以实现陌生伙伴的一键约游出行；可以实现结合中国移动阅读、音乐、动漫、视频等基地资源智能的向产品使用者推送信息资源，也可以实现产品使用者自动上传经验进行内容信息共享积分。具体功能点分析如下：用户注册、信息交流、熟悉伙伴之间的活动策划组织、陌生伙伴的一键约游、内容服务、积分换购等。,http://zzkf.bigcloudsys.cn:8088/project/detail/2243,2015.07.31
微信商城全民微店,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2278,2015.07.31
和语,本产品是为了让用户快速又和谐通话而开发出的手机,http://zzkf.bigcloudsys.cn:8088/project/detail/2553,2015.08.06
